gender,safety
F,1
F,2
F,2
F,2
F,3
F,2
F,3
F,2
F,2
F,2
F,2
F,2
F,2
F,2
M,2
M,2
M,1
M,2
M,2
M,2
M,2
M,1
M,2
M,2
M,2
F,3
M,2
M,2
M,2
M,1
M,2
M,1
F,2
F,4
F,2
F,2
F,1
F,2
F,2
F,3
F,2
F,2
F,2
F,2
F,1
F,1
F,2
F,2
F,1
F,2
M,1
M,1
F,2
F,2
F,4
F,2
F,3
M,2
F,2
F,3
F,2
M,3
F,2
F,4
F,2
F,2
F,4
M,1
M,2
M,3
M,1
M,2
M,1
M,3
M,1
M,4
M,1
F,2
F,2
F,2
F,3
F,2
F,2
F,2
M,2
F,2
F,3
M,2
F,3
F,2
F,2
F,3
F,2
F,1
F,1
F,2
F,3
F,2
F,2
F,3
F,4
F,1
F,2
M,3
M,1
M,2
M,2
M,2
M,5
M,4
M,2
M,4
M,2
M,3
M,2
M,3
M,3
M,2
M,2
M,2
F,3
F,3
M,3
F,3
F,2
F,2
F,3
F,2
F,2
F,2
F,2
M,2
M,2
M,2
M,2
M,1
M,1
F,3
F,3
M,1
M,1
F,3
F,2
F,2
F,3
F,3
F,4
F,1
F,2
M,1
M,3
M,3
M,2
M,1
F,2
F,5
F,2
F,3
F,4
F,2
F,2
F,2
F,4
F,2
F,2
M,2
M,3
F,2
F,3
F,3
F,1
M,3
M,2
M,1
F,4
F,4
F,3
F,2
F,4
M,2
F,2
F,2
F,4
F,3
F,2
F,4
F,4
F,2
F,3
F,3
M,2
M,2
M,3
M,2
M,2
M,2
F,3
M,4
F,4
M,2
F,4
F,2
F,2
F,3
F,3
M,3
F,2
F,1
F,2
F,2
F,2
F,3
M,4
M,2
F,2
F,3
M,3
F,2
F,3
F,3
M,2
F,3
F,2
F,2
F,3
F,1
F,2
F,2
M,1
F,2
F,4
F,4
M,2
F,2
F,2
F,3
F,2
M,3
M,2
F,3
F,2
F,4
F,2
F,3
F,2
F,2
F,2
F,4
F,2
F,3
F,2
F,2
F,4
F,2
F,2
F,2
F,2
F,3
F,3
F,4
F,1
M,1
M,2
M,3
M,2
M,3
M,2
M,2
M,2
F,2
F,2
F,2
F,2
M,2
M,2
M,3
M,2
F,3
F,3
M,2
F,2
M,2
F,2
F,2
M,2
M,3
F,2
M,2
F,5
F,3
F,2
F,2
F,2
M,3
F,2
F,2
M,3
F,3
F,3
F,3
F,4
F,3
M,1
